alpha	beta	Aq	d	mt	mf	pin	dzul
42	15	2.8e-06	0.15	0.015	0.015	1.5	7.5
54	15	2.5e-06	0.15	0.015	0.015	1.5	7.5
30	15	3.1e-06	0.15	0.015	0.015	1.5	7.5
30	15	2.5e-06	0.15	0.015	0.015	1.5	7.5
42	15	2.8e-06	0.15	0.015	0.015	1.5	7.5
54	15	3.1e-06	0.15	0.015	0.015	1.5	7.5
58.9705627484771	15	2.8e-06	0.15	0.015	0.015	1.5	7.5
42	15	3.22426406871193e-06	0.15	0.015	0.015	1.5	7.5
42	15	2.8e-06	0.15	0.015	0.015	1.5	7.5
42	15	2.8e-06	0.15	0.015	0.015	1.5	7.5
42	15	2.37573593128807e-06	0.15	0.015	0.015	1.5	7.5
25.0294372515229	15	2.8e-06	0.15	0.015	0.015	1.5	7.5
