alpha	beta	Aq	d	mt	mf	pin	dzul
30	15	2.5e-06	0.15	0.015	0.015	1.5	7.5
44.745	15	2.5915e-06	0.15	0.015	0.015	1.5	7.5
59.49	15	2.683e-06	0.15	0.015	0.015	1.5	7.5
74.28	15	2.775e-06	0.15	0.015	0.015	1.5	7.5
88.995	15	2.866e-06	0.15	0.015	0.015	1.5	7.5
