alpha	beta	Aq	d	mt	mf	pin	dzul
45	15	3e-06	0.15	0.015	0.015	1.5	7.5
15	15	3e-06	0.15	0.015	0.015	1.5	7.5
45	15	2e-06	0.15	0.015	0.015	1.5	7.5
15	15	2e-06	0.15	0.015	0.015	1.5	7.5
45	15	3e-06	0.15	0.015	0.015	1.5	7.5
15	15	3e-06	0.15	0.015	0.015	1.5	7.5
45	15	2e-06	0.15	0.015	0.015	1.5	7.5
15	15	2e-06	0.15	0.015	0.015	1.5	7.5
